partnership_id,parent_id,analyst,new_or_legacy,primary_mission,sub_mission,partnership_year,partnership_type,level_of_commitment,relationship_type,business_model,mission_type,partnership_strength,asset_name,cocom_1,country_1,org_type_1,organization_1,company_1,cocom_2,country_2,org_type_2,organization_2,company_2,link_1,link_2,link_3
AAC Clyde Space-Intuitive Machines Lunar Rover order,AAC Clyde Space-Intuitive Machines Lunar Rover order,,Legacy,Science & Exploration,Lunar,2022,Transactions,Low,Transaction,B2B,Commercial,2.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USNORTHCOM,United States,Industry,,Intuitive Machines,https://news.satnews.com/2022/12/13/aac-clyde-space-wins-a-subsystems-order-from-intuitive-machines/,,
AAC Clyde Space-OHB Sweden Order,AAC Clyde Space-OHB Sweden Order,,Legacy,Not Specified,Not Specified,2022,Transactions,Low,Transaction,B2B,Commercial,2.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USEUCOM,Sweden,Industry,,OHB Sweden,https://news.satnews.com/2022/08/23/aac-clyde-space-receives-ohb-sweden-order/,,
AAC Clyde Space-ORBCOOM SDaaS,AAC Clyde Space-ORBCOOM SDaaS,,Legacy,Space Sensing,ISR & Remote Sensing,2023,Transactions,Low,Transaction,B2B,Commercial,2.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USNORTHCOM,United States,Industry,,ORBCOMM,https://news.satnews.com/2023/01/08/aac-clyde-spaces-ais-communications-satellite-kelpie-1-launches/,,
AAC Clyde Space-ReOrbit Partnerships,AAC Clyde Space-ReOrbit Partnerships,,Legacy,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USEUCOM,Finland,Industry,,ReOrbit,https://www.airforce-technology.com/news/reorbit-and-aac-clyde-space-partner-on-joint-satellite-avionics-bundle/,,
AAC Clyde Space-SpaceIL Beresheet-2 Contract,AAC Clyde Space-SpaceIL Beresheet-2 Contract,,Legacy,Science & Exploration,Lunar,2022,Transactions,Low,Transaction,B2B,Commercial,2.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USCENTCOM,Israel,Industry,,SpaceIL,https://news.satnews.com/2022/06/20/aac-clyde-space-garners-millione-avionics-contract-from-space-il/,,
AARNET-ESA Copernicus Hub,2023 Copernicu Hub,,Legacy,Space Sensing,Environmental Monitoring,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Civil,4.0,Copernicus,USINDOPACOM,Australia,Industry,,AARNET,USEUCOM,European Union,Government,European Space Agency (ESA),,https://www.itnews.com.au/news/csiro-plans-vast-data-hub-for-satellite-data-sharing-593405,,
AARNET-Eumetsat Copernicus Hub,2023 Copernicu Hub,,Legacy,Space Sensing,Environmental Monitoring,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Civil,4.0,Copernicus,USINDOPACOM,Australia,Industry,,AARNET,USEUCOM,European Union,Government,European Organisation for Exploitation of Meteorological Satellites (EUMETSAT),,https://www.itnews.com.au/news/csiro-plans-vast-data-hub-for-satellite-data-sharing-593405,,
AARNET-Euro. Environ. Agency Copernicus Hub,2023 Copernicu Hub,,Legacy,Space Sensing,Environmental Monitoring,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Civil,4.0,Copernicus,USINDOPACOM,Australia,Industry,,AARNET,USEUCOM,European Union,Government,European Environment Agency,,https://www.itnews.com.au/news/csiro-plans-vast-data-hub-for-satellite-data-sharing-593405,,
AARNET-European Commission Copernicus Hub,2023 Copernicu Hub,,Legacy,Space Sensing,Environmental Monitoring,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Civil,4.0,Copernicus,USINDOPACOM,Australia,Industry,,AARNET,USEUCOM,European Union,Government,European Commission,,https://www.itnews.com.au/news/csiro-plans-vast-data-hub-for-satellite-data-sharing-593405,,
ABAE-CONAE - Scientific Cooperation Agreement 2013,ABAE-CONAE - Scientific Cooperation Agreement 2013,FC,New,Science & Exploration,Orbital,2013,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Venezuela,Government,Bolivarian Agency for Space Activities (ABAE),,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,https://isprs-archives.copernicus.org/articles/XLII-2-W7/851/2017/isprs-archives-XLII-2-W7-851-2017.pdf,,
ABAE-Mexico - Cooperation Agreement 2015,ABAE-Mexico - Cooperation Agreement 2015,FC,New,Science & Exploration,Orbital,2015,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Venezuela,Government,Bolivarian Agency for Space Activities (ABAE),,USNORTHCOM,Mexico,Government,Government of Mexico,,https://isprs-archives.copernicus.org/articles/XLII-2-W7/851/2017/isprs-archives-XLII-2-W7-851-2017.pdf,,
ABB-Canada-MELCO Interometer for GOSAT-2,ABB-Canada-MELCO Interometer for GOSAT-2,,Legacy,Space Sensing,Environmental Monitoring,2015,Transactions,Low,Transaction,B2B,Civil,2.0,GOSAT,USNORTHCOM,Canada,Industry,,ABB-Canada,USINDOPACOM,Japan,Industry,,Mitsubishi Electric Corporation,https://www.newswire.ca/news-releases/abb-wins-a-space-contract-from-mitsubishi-electric-corporation-517955101.html,,
ABB-Canada-NASA Joint Polar Satellite System-1,ABB-Canada-NASA Joint Polar Satellite System-1,,Legacy,Space Sensing,ISR & Remote Sensing,2010,Transactions,Low,Transaction,B2G,Civil,3.0,,USNORTHCOM,Canada,Industry,,ABB-Canada,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,http://acuriousguy.blogspot.com/2018/01/abb-canada-supplies-key-instrument-for.html,,
ABE-Argentine Ministry Collaboration,ABE-Argentine Ministry Collaboration,JF,New,SATCOM & PNT,SATCOM & Data Transport,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Argentina,Government,"Ministry of Science, Technology and Innovation",,USSOUTHCOM,Bolivia,Government,Bolivian Space Agency (ABE),,https://dialogo-americas.com/articles/argentina-and-bolivia-strengthen-military-and-space-cooperation/#.ZFAjJnbMLZQ,,
ABL - Lockheed SaxaVord Launch,ABL - Lockheed SaxaVord Launch,,Legacy,Assured Access to Space,Launch,2021,Transactions,High,Transaction,B2B,Commercial,4.0,,USEUCOM,United Kingdom,Industry,,ABL Space Systems UK,USNORTHCOM,United States,Industry,,Lockheed Martin,https://spacenews.com/lockheed-martin-selects-abl-space-systems-for-uk-launch/,,
ABS-Maxar MBSat 1,MBSat 1 Joint Satellite Development 2004,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2004,Co-Production,Low,Cooperative,B2B,Commercial,5.0,,USNORTHCOM,United States,Industry,,Maxar,USINDOPACOM,Hong Kong,Industry,,ABS,https://space.skyrocket.de/doc_sdat/mbsat-1.htm,,
AcceleratorIndia-UKSA Commerical Space Workshop 2015,India-UK Commercial Space Workshop 2015,AS,New,Not Specified,Not Specified,2015,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Commercial,4.0,,USINDOPACOM,India,Industry,,AcceleratorIndia,USEUCOM,United Kingdom,Government,UK Space Agency (UKSA),,https://www.gov.uk/government/publications/the-uk-and-india-in-the-space-sector,,
AcceleratorIndia-UKSIN Commerical Space Workshop 2015,India-UK Commercial Space Workshop 2015,AS,New,Not Specified,Not Specified,2015,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Commercial,4.0,,USINDOPACOM,India,Industry,,AcceleratorIndia,USEUCOM,United Kingdom,Government,UK Science and Innovation Network (UKSIN),,https://www.gov.uk/government/publications/the-uk-and-india-in-the-space-sector,,
AcceleratorIndia-UKTI Commerical Space Workshop 2015,India-UK Commercial Space Workshop 2015,AS,New,Not Specified,Not Specified,2015,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2G,Commercial,4.0,,USINDOPACOM,India,Industry,,AcceleratorIndia,USEUCOM,United Kingdom,Government,UK Trade and Investment (UKTI),,https://www.gov.uk/government/publications/the-uk-and-india-in-the-space-sector,,
ACCESS-DSIT Weather and Climate Science for Service Partnership Programme 2020,Weather and Climate Science for Service Partnership Programme 2019,GJ,New,Space Sensing,Environmental Monitoring,2020,Co-Production,Low,Cooperative,G2G,Civil,7.0,,USAFRICOM,South Africa,Government,Alliance for Collaboration on Climate & Earth System Science (ACCESS),,USEUCOM,United Kingdom,Government,"Department for Science, Innovation and Technology (DSIT)",,https://www.metoffice.gov.uk/research/approach/collaboration/wcssp/wcssp-southafrica,,
Acorde-ESA Ka-Band Flyaway Terminal Design Contract,Acorde-ESA Ka-Band Flyaway Terminal Design Contract,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2014,Transactions,Low,Transaction,B2G,Civil,3.0,,USEUCOM,Spain,Industry,,Acorde,USEUCOM,European Union,Government,European Space Agency (ESA),,https://artes.esa.int/projects/ka-band-flyaway-terminal-design-and-development,,
ACRI ST France-India Consortium,ACRI ST France-India Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,2021,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USINDOPACOM,India,Industry,,ACRI Bharat,https://www.acri-st.fr/en/about-us,,
ACRI-ST France-Canada Consortium,ACRI-ST France-Canada Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,1989,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USNORTHCOM,Canada,Industry,,Arctus,https://www.acri-st.fr/en/about-us,,
ACRI-ST France-Luxembourg Consortium,ACRI-ST France-Luxembourg Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,2016,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USEUCOM,Luxembourg,Industry,,adwaisEO,https://www.acri-st.fr/en/about-us,,
ACRI-ST France-Morocco Consortium,ACRI-ST France-Morocco Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,2016,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USAFRICOM,Morocco,Industry,,ACRI-EC,https://www.acri-st.fr/en/about-us,,
ACRI-ST France-Spain Consortium,ACRI-ST France-Spain Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,2016,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USEUCOM,Spain,Industry,,Albavalor,https://www.acri-st.fr/en/about-us,,
ACRI-ST France-UK Consortium,ACRI-ST France-UK Consortium,,Legacy,Space Sensing,ISR & Remote Sensing,2007,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,ACRI-ST,USEUCOM,United Kingdom,Industry,,Argans,https://www.acri-st.fr/en/about-us,,
Actia-Arabsat MOU,Actia-Arabsat MOU,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2022,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USEUCOM,France,Industry,,Actia Telecom,USCENTCOM,Saudi Arabia,Industry,,Arabsat,https://www.broadcastprome.com/news/satellite/arabsat-signs-mou-with-actia-group/,,
Added Value Solutions UK-Virgin Orbit Partnership,University of Portsmouth - Office for Space Technology and Industry [OSTIn] 2023,,Legacy,Not Specified,Not Specified,2021,Transactions,Low,Transaction,B2B,Multi-Use,3.0,,USNORTHCOM,United States,Industry,,Virgin Orbit,USEUCOM,United Kingdom,Industry,,Added Value Solutions (AVS) UK,https://www.satellitetoday.com/launch/2021/05/04/virgin-orbit-selects-avs-to-build-ground-operating-system-at-spaceport-cornwall/,,
Addvalue in Inmarsat's ELEVATE Program,Addvalue in Inmarsat's ELEVATE Program,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2022,Transactions,Low,Transaction,B2B,Commercial,2.0,,USEUCOM,United Kingdom,Industry,,Inmarsat,USINDOPACOM,Singapore,Industry,,Addvalue,https://www.inmarsat.com/en/news/latest-news/enterprise/2022/addvalue-joins-elevate-programme.html,,
Addvalue-Astroscale Contract for ELSA-M,Addvalue-Astroscale Contract for ELSA-M,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2022,Transactions,Low,Transaction,B2B,Commercial,2.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,United Kingdom,Industry,,Astroscale UK,https://www.addvaluetech.com/wp-content/uploads/2022/12/IDRS-Astroscale-PR_051222.pdf,,
Addvalue-Atomos Space Partnership,Addvalue-Atomos Space Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2022,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Atomos Space,https://www.addvaluetech.com/wp-content/uploads/2022/07/Atomos-and-Addvalue-with-Inmarsat-PR_EN_FINAL.pdf,,
Addvalue-Avionica Partnership,Addvalue-Avionica Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2019,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Avionica,https://www.addvaluetech.com/wp-content/uploads/2019/02/AVT-PR_Addvalue_Avionica_formalised_significant_design_agreement_200219.pdf,,
Addvalue-Blacksky IDRS partnership,Addvalue-Blacksky IDRS partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2023,Transactions,Low,Transaction,B2B,Commercial,2.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Blacksky,https://news.satnews.com/2023/02/19/blacksky-inmarsat-and-addvalue-accelerate-earth-observation-eo-with-idrs/,,
Addvalue-Capella Real-Time Tasking Partnership,Addvalue-Capella Real-Time Tasking Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2019,Infrastructure Access,Low,Cooperative,B2B,Commercial,3.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Capella Space,https://www.addvaluetech.com/wp-content/uploads/2019/08/AVT-PR-Capella_Space_Partners_with_Addvalue_and_Inmarsat_for_Real-time_Tasking_5Aug19.pdf,,
Addvalue-Cloud Constellation Partnership,Addvalue-Cloud Constellation Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,Transactions,Low,Transaction,B2B,Commercial,2.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Cloud Constellation,https://www.addvaluetech.com/wp-content/uploads/2021/01/AVT-PR_Addvalue_secures_major_design_contract_with_Cloud_Constellation_290121.pdf,,
Addvalue-CSS One Belt One Road Partnership,Addvalue-CSS One Belt One Road Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2015,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,Hong Kong,Industry,,China International Security Solutions Corporation (CSS),https://www.businesstimes.com.sg/companies-markets/addvalue-provide-communication-solutions-hk-firm-china-pakistan-project,,
Addvalue-CTTIC Shanghai Contract for Additional iFleetone terminals,Addvalue-CTTIC Shanghai Contract for Additional iFleetone terminals,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,Transactions,High,Transaction,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,China,Industry,,China Transport Telecommunications and Information Center (CTTIC) Shanghai,https://www.addvaluetech.com/wp-content/uploads/2021/05/AVT-PR_Secured_new_additional_contract_for_iFleetONE_to_CTTIC-Shanghal.pdf,,
Addvalue-CTTIC Shanghai Sales Agreement,Addvalue-CTTIC Shanghai Sales Agreement,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2020,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2B,Commercial,3.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,China,Industry,,China Transport Telecommunications and Information Center (CTTIC) Shanghai,https://www.addvaluetech.com/wp-content/uploads/2020/08/AVT-PR_on_iFleetONE-VMS_10Aug20.pdf,,
Addvalue-Dragonfly Aerospace Partnership,Addvalue-Dragonfly Aerospace Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USAFRICOM,South Africa,Industry,,Dragonfly Aerospace,https://www.addvaluetech.com/wp-content/uploads/2021/02/AVT-PR_Dragonfly_and_Addvalue_inked_business_collaboration_MOU_080221.pdf,,
Addvalue-Falcon Technology Xinjiang Security Partnership,Addvalue-Falcon Technology Xinjiang Security Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2017,Cooperative RDT&E,High,Cooperative,B2B,Commercial,6.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,China,Industry,,Falcon Technology,https://www.addvaluetech.com/wp-content/uploads/2018/06/AVT-PR-Satcom_IoT_POC_220817-1.pdf,,
Addvalue-Gatehouse SATCOM partnership,Addvalue-Gatehouse SATCOM partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,Denmark,Industry,,GateHouse SATCOM,https://www.addvaluetech.com/wp-content/uploads/2021/03/GateHouse-Satcom_and_Addvalue_to_co-build_5G_Narrowband-IoT_satellite_terminal.pdf,,
Addvalue-GTNT Partnership,Addvalue-GTNT Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2018,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,Russia,Industry,,GTNT,https://www.addvaluetech.com/wp-content/uploads/2018/06/AVT-Press_Release-Thuraya_Addvalue_Gain_Access_to_Russian_Maritime_Market.pdf,,
Addvalue-Hedron Partnership,Addvalue-Hedron Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Hedron,https://www.addvaluetech.com/wp-content/uploads/2021/01/Analytical_Space-Addvalue-Inmarsat-Press_Release-29_January_2021.pdf,,
Addvalue-Huaan Xingke Partnership,Addvalue-Huaan Xingke Partnership,,Legacy,SATCOM & PNT,PNT,2018,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2B,Commercial,3.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,China,Industry,,Huaan Xingke Information Technology,https://www.addvaluetech.com/wp-content/uploads/2018/05/AVT-PR_on_Addvalue_and_Huaan_Xingke_accomplished_key_milestone.pdf,,
Addvalue-Inmarsat IDRS Agreement,Addvalue-Inmarsat IDRS Agreement,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2017,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,United Kingdom,Industry,,Inmarsat,https://www.reuters.com/article/brief-addvalue-and-inmarsat-sign-agreeme/brief-addvalue-and-inmarsat-sign-agreement-to-launch-inter-satellite-data-relay-service-idUSFWN1KW1G1,,
Addvalue-INVAP Partnership,Addvalue-INVAP Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2017,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USSOUTHCOM,Argentina,Industry,,INVAP,https://www.addvaluetech.com/wp-content/uploads/2018/06/Addvalue-INVAPcollabpressrelease20170608.pdf,,
"Addvalue-iQPS Comms Equipment Contract, 2023","Addvalue-iQPS Comms Equipment Contract, 2023",JF,New,Space Sensing,ISR & Remote Sensing,2023,Transactions,Low,Transaction,B2B,Commercial,2.0,,USINDOPACOM,Japan,Industry,,iQPS,USINDOPACOM,Singapore,Industry,,Addvalue,https://www.addvaluetech.com/wp-content/uploads/2023/07/Press-Release-IDRS-iQPS_for-26Jul23_final.pdf,,
Addvalue-KSAT partnership,Addvalue-KSAT partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2018,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,Norway,Industry,,KSAT,https://www.addvaluetech.com/wp-content/uploads/2018/06/Press-Release-KSAT_and_Addvalue_join_forces_to_enhance_Spacecraft_to_Ground_comm_svc.pdf,,
Addvalue-Marinesat Partnership,Addvalue-Marinesat Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2018,"Framework Agreements, Meetings, and Consortia",High,Cooperative,B2B,Commercial,3.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USINDOPACOM,China,Industry,,Shenzhen Marinesat Network Technology,https://www.addvaluetech.com/wp-content/uploads/2018/10/AVT-PR_Marinesat_Addvalue_Team_Up_311018.pdf,,
Addvalue-Micro-Ant Partnership,Addvalue-Micro-Ant Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Micro-Ant,https://www.addvaluetech.com/wp-content/uploads/2021/06/Joint_Press_Release-Addvalue_and_Micro-Ant_-forged_partnership_280621.pdf,,
Addvalue-Network Innovations Partnership,Addvalue-Network Innovations Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2018,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,Canada,Industry,,Network Innovations,https://www.addvaluetech.com/wp-content/uploads/2018/10/AVT-NI_PR_iFleetONE_VMS_041018.pdf,,
Addvalue-Open Cosmos Partnership,Addvalue-Open Cosmos Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2018,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USEUCOM,United Kingdom,Industry,,Open Cosmos,https://www.addvaluetech.com/wp-content/uploads/2018/08/Open-Cosmos-Addvalue-Partnership-Press-Release_8_Aug_2018.pdf,,
Addvalue-Pivotel America Partnership,Addvalue-Pivotel America Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2021,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USINDOPACOM,Singapore,Industry,,Addvalue,USNORTHCOM,United States,Industry,,Pivotel America,https://www.addvaluetech.com/wp-content/uploads/2021/09/AVT-PR-iFleetONE-VMS_To_Capitalise_NOAA_Phase-2_Mandatory_Reporting_090921.pdf,,
